difficulty,proficiency_group,submission_rank,delta_seconds,next_status
D,G5,3,454,TLE
D,G5,4,1536,WA
B,G5,1,356,TLE
B,G5,2,150,WA
D,G5,1,75,TLE
D,G5,2,705,WA
D,G5,4,301,TLE
D,G5,5,1318,TLE
D,G5,6,155,TLE
D,G5,7,,Abandon
E,G5,1,90,AC
D,G5,1,3411,TLE
D,G5,2,183,TLE
D,G5,3,7651,TLE
D,G5,4,56,TLE
D,G5,5,1435,AC
E,G5,1,,Abandon
D,G5,2,,Abandon
E,G5,1,2061,TLE
E,G5,2,1410,TLE
E,G5,3,91757,TLE
E,G5,4,276,TLE
E,G5,5,,Abandon
C,G5,4,244,TLE
C,G5,5,644,AC
D,G5,1,82833,AC
D,G5,1,815,TLE
D,G5,2,1274,WA
C,G5,1,2329,TLE
C,G5,2,1001,TLE
C,G5,3,,Abandon
D,G4,1,1042,AC
C,G4,1,326,RE
C,G4,1,865,TLE
C,G4,2,313,TLE
C,G4,3,371,TLE
C,G4,4,1428,TLE
C,G4,5,546,RE
C,G4,1,428,WA
C,G4,3,441,TLE
C,G4,4,147,WA
C,G4,6,234,WA
D,G3,1,693,TLE
D,G3,2,893,TLE
D,G3,3,,Abandon
E,G6,1,,Abandon
D,G6,1,2113,TLE
D,G6,2,,Abandon
D,G4,1,71,TLE
D,G4,2,4872,TLE
D,G4,3,,Abandon
B,G4,5,27,TLE
B,G4,6,89,WA
D,G4,1,61,TLE
D,G4,2,42,TLE
D,G4,3,,Abandon
D,G4,1,7431,WA
D,G4,1,63,AC
C,G4,1,760,AC
C,G4,1,936,AC
B,G4,1,573,TLE
B,G4,2,423,AC
B,G4,1,48,AC
E,G6,1,,Abandon
E,G6,1,1114,TLE
E,G6,2,717,AC
D,G6,1,2857,AC
F,G6,1,3881,WA
D,G6,1,251,AC
E,G6,1,77,TLE
E,G6,2,343,WA
E,G6,4,,Abandon
C,G5,2,107,AC
D,G5,1,,Abandon
C,G5,1,2479,WA
B,G3,1,51,TLE
B,G3,2,274236,TLE
B,G3,3,891,AC
B,G3,5,295,AC
A,G3,1,208,AC
B,G3,1,223,WA
B,G3,7,65,RE
C,G4,1,141,TLE
C,G4,2,,Abandon
C,G4,1,566,WA
C,G4,1,36813,WA
C,G4,3,1472,WA
C,G4,5,235,TLE
C,G4,6,307,AC
C,G4,1,716,WA
D,G4,3,7601,TLE
D,G4,4,1680,TLE
D,G4,5,594,TLE
D,G4,6,2613,WA
D,G4,10,478,AC
C,G4,1,838277,AC
D,G4,2,428,TLE
D,G4,3,8838,WA
D,G4,5,212,TLE
D,G4,6,,Abandon
C,G4,1,547,TLE
C,G4,2,3172,TLE
C,G4,3,3177,AC
C,G4,1,443036,AC
D,G5,2,1219,CE
D,G5,4,68,TLE
D,G5,5,58,AC
B,G5,1,185,AC
C,G5,2,45,WA
D,G5,1,426,WA
B,G5,2,160,CE
B,G5,7,831,TLE
B,G5,8,64,AC
C,G4,3,248,TLE
C,G4,4,212,TLE
C,G4,5,735,AC
D,G4,1,1148,WA
D,G4,4,,Abandon
D,G4,1,182,AC
D,G3,1,,Abandon
D,G4,4,129,AC
C,G4,2,246,TLE
C,G4,3,,Abandon
B,G4,3,121,AC
C,G4,2,235,TLE
C,G4,3,968,WA
B,G4,3,140,AC
C,G4,1,1030,TLE
C,G4,2,121,AC
B,G4,1,230,AC
D,G6,1,165,TLE
D,G6,2,4688,AC
E,G6,2,2175,WA
C,G6,1,58,AC
F,G6,2,412,AC
D,G6,1,2566,AC
D,G6,1,396,AC
C,G3,1,1794,WA
C,G3,2,1319,TLE
C,G3,3,878,TLE
C,G3,4,1531,TLE
C,G3,5,1736,RE
C,G3,1,1222,WA
B,G3,1,1990,WA
B,G3,1,293,RE
B,G3,3,311,WA
D,G4,1,464,TLE
D,G4,2,479,TLE
D,G4,3,6973,AC
D,G4,2,1469,AC
D,G4,1,2537,WA
C,G5,1,84158,AC
C,G4,1,2800,AC
D,G5,1,656,TLE
D,G5,2,605,RE
E,G5,18,436,AC
E,G6,2,,Abandon
D,G6,1,,Abandon
C,G5,1,,Abandon
C,G5,1,2136,WA
E,G5,1,,Abandon
D,G5,1,856,WA
D,G5,4,67,TLE
D,G5,5,34,WA
C,G5,1,563,AC
D,G5,1,482,TLE
D,G5,2,1536,TLE
D,G5,3,,Abandon
D,G5,1,281,TLE
D,G5,2,,Abandon
B,G4,1,579,TLE
B,G4,2,275,AC
D,G4,1,759,AC
A,G4,1,219,AC
D,G4,1,421,TLE
D,G4,2,192,TLE
D,G4,3,54,TLE
D,G4,4,32896,TLE
D,G4,5,,Abandon
C,G4,3,844975,AC
C,G4,2,1033,AC
C,G4,1,142,AC
C,G4,2,339,WA
D,G4,2,2834,AC
C,G4,1,2478,RE
C,G4,1,787,TLE
C,G4,2,352,TLE
C,G4,3,698,AC
D,G4,2,,Abandon
C,G4,2,1798,TLE
C,G4,3,84904,AC
D,G4,1,310,TLE
D,G4,2,,Abandon
C,G4,1,879850,AC
C,G3,1,4676,RE
C,G3,1,2710,TLE
C,G3,2,68,TLE
C,G3,3,778,WA
C,G4,1,1264,WA
D,G4,1,201,AC
E,G3,1,,Abandon
B,G3,1,974,AC
F,G6,1,530,TLE
F,G6,2,,Abandon
F,G6,2,,Abandon
E,G6,1,2542,AC
D,G6,1,655,TLE
D,G6,2,1217,TLE
D,G6,3,2808,WA
D,G6,6,289,AC
F,G6,2,3740,CE
F,G6,4,159,TLE
F,G6,5,11314025,AC
E,G6,1,768,AC
F,G6,1,337,TLE
F,G6,2,132,TLE
F,G6,3,85671,AC
D,G6,1,2770992,AC
D,G6,1,283,AC
E,G6,1,692139,AC
D,G6,2,375,WA
D,G6,1,677,AC
C,G6,1,775,WA
D,G6,1,1253,WA
C,G6,1,1821,AC
C,G6,1,455,WA
B,G6,2,193,AC
C,G5,1,1152,CE
F,G6,11,,Abandon
C,G6,2,,Abandon
C,G5,1,47,TLE
C,G5,2,409,TLE
C,G5,3,53,AC
C,G5,6,80,TLE
C,G5,7,1224642,WA
C,G5,1,87,WA
C,G5,4,52,AC
C,G5,7,615,TLE
C,G5,8,,Abandon
D,G5,3,,Abandon
D,G5,1,201,WA
D,G5,3,207,TLE
D,G5,4,714,TLE
D,G5,5,209,TLE
D,G5,6,74,WA
C,G5,2,515,TLE
C,G5,3,3536,AC
D,G5,1,413,TLE
D,G5,2,,Abandon
D,G5,4,64,AC
C,G5,4,68,RE
C,G5,7,106,TLE
C,G5,8,905,TLE
C,G5,9,,Abandon
C,G3,1,131,TLE
C,G3,2,184,TLE
C,G3,3,281,RE
D,G5,1,466,TLE
D,G5,2,,Abandon
C,G5,1,2541,AC
D,G5,1,12798,WA
B,G5,1,411,AC
D,G5,1,,Abandon
D,G5,1,292,WA
E,G5,1,,Abandon
D,G5,1,3769,TLE
D,G5,2,,Abandon
C,G5,1,647,AC
D,G2,1,3204,TLE
D,G2,2,,Abandon
E,G5,1,372,CE
D,G6,1,198,AC
D,G6,1,20,TLE
D,G6,2,151,TLE
D,G6,3,383,TLE
D,G6,4,134,TLE
D,G6,5,30,TLE
D,G6,6,576,TLE
D,G6,7,422,TLE
D,G6,8,163,TLE
D,G6,9,152,TLE
D,G6,10,23,TLE
D,G6,11,166,TLE
D,G6,12,,Abandon
D,G6,1,27,TLE
D,G6,2,241,AC
D,G6,1,102,RE
E,G6,1,55599,WA
E,G6,4,30453,WA
D,G6,1,67,AC
D,G6,1,40,TLE
D,G6,2,687,AC
D,G6,1,985,TLE
D,G6,2,28,TLE
D,G6,3,397,TLE
D,G6,4,603,TLE
D,G6,5,93389,TLE
D,G6,6,25,TLE
D,G6,7,3440,WA
D,G6,9,94,TLE
D,G6,10,27,AC
D,G6,1,1603,WA
D,G6,4,237,WA
E,G6,1,32,AC
D,G6,1,140,AC
E,G6,1,27,TLE
E,G6,2,461,TLE
E,G6,3,92,TLE
E,G6,4,266,TLE
E,G6,5,27,TLE
E,G6,6,152,TLE
E,G6,7,24243,TLE
E,G6,8,26,TLE
E,G6,9,79771,RE
E,G6,11,,Abandon
D,G6,3,108,TLE
D,G6,4,4452,TLE
D,G6,5,58,TLE
D,G6,6,2835,TLE
D,G6,7,24,TLE
D,G6,8,50085,WA
D,G6,10,22968423,TLE
D,G6,11,215,TLE
D,G6,12,225,AC
C,G6,1,142,TLE
C,G6,2,132,TLE
C,G6,3,502,TLE
C,G6,4,3043,AC
D,G6,1,268,TLE
D,G6,2,455,TLE
D,G6,3,11,TLE
D,G6,4,27872,TLE
D,G6,5,3414,AC
D,G6,3,21,AC
D,G6,1,63,TLE
D,G6,2,678,TLE
D,G6,3,19,TLE
D,G6,4,18938,AC
C,G6,1,33,TLE
C,G6,2,32910,AC
D,G6,1,7406,AC
C,G6,1,424,AC
D,G6,1,37,TLE
D,G6,2,55368,AC
C,G6,1,161,TLE
C,G6,2,203,AC
D,G6,1,267,TLE
D,G6,2,186,TLE
D,G6,3,341,WA
D,G6,4,592,TLE
D,G6,5,93,TLE
D,G6,6,94393,AC
C,G6,1,84340,AC
D,G6,1,39,TLE
D,G6,2,85,TLE
D,G6,3,97,TLE
D,G6,4,426,TLE
D,G6,5,39,AC
D,G6,1,2628,AC
D,G6,1,48,AC
C,G6,1,246,RE
C,G6,1,86,WA
D,G6,1,30,TLE
D,G6,2,114,TLE
D,G6,3,58,TLE
D,G6,4,454,TLE
D,G6,5,1208,AC
D,G6,7,711,WA
C,G6,1,41,AC
D,G6,3,302,AC
D,G6,2,4576693,AC
B,G5,4,190,WA
C,G5,1,,Abandon
B,G5,3,164,AC
C,G4,12,1294,AC
D,G4,3,326,WA
B,G3,1,472,WA
D,G3,1,,Abandon
D,G3,1,,Abandon
D,G4,1,,Abandon
B,G4,2,444,TLE
B,G4,3,516,TLE
B,G4,4,363,AC
B,G5,1,469,AC
C,G5,1,182,AC
D,G4,1,178,TLE
D,G4,2,2691,WA
D,G4,1,,Abandon
C,G4,1,339,TLE
C,G4,2,278,TLE
C,G4,3,1073,TLE
C,G4,4,686,TLE
C,G4,5,182,RE
D,G4,1,705,WA
C,G4,1,892,AC
D,G4,1,704,TLE
D,G4,2,,Abandon
C,G4,1,225,TLE
C,G4,2,214,TLE
C,G4,3,422,AC
C,G4,4,252,WA
C,G4,2,45279,TLE
C,G4,3,13362,RE
C,G4,1,842,TLE
C,G4,2,,Abandon
C,G4,1,335256,AC
D,G4,1,11093,RE
C,G4,1,2153,AC
B,G4,1,304,TLE
B,G4,2,718,AC
D,G2,1,,Abandon
C,G4,1,166,TLE
C,G4,2,165,AC
D,G4,1,,Abandon
D,G4,1,193,TLE
D,G4,2,,Abandon
B,G4,3,274,WA
D,G4,1,290,TLE
D,G4,2,278,TLE
D,G4,3,,Abandon
A,G3,2,152,WA
A,G3,6,61,TLE
A,G3,7,56,TLE
A,G3,8,151,WA
A,G3,10,74,WA
F,G6,3,,Abandon
D,G6,1,230,CE
D,G6,3,1030,TLE
D,G6,4,593436,AC
E,G6,2,828,AC
F,G6,1,551,TLE
F,G6,2,227,TLE
F,G6,3,311,TLE
F,G6,4,367,TLE
F,G6,5,,Abandon
E,G6,1,521,TLE
E,G6,2,3381,WA
E,G6,3,178,TLE
E,G6,4,703,AC
E,G6,2,2297,WA
D,G6,1,1375,TLE
D,G6,2,168,TLE
D,G6,3,317,RE
D,G6,8,707,WA
C,G6,1,373,RE
D,G6,1,1375,TLE
D,G6,2,313,AC
C,G6,1,2491,AC
E,G6,1,14305,TLE
E,G6,2,45846,WA
F,G6,1,3095,TLE
F,G6,2,72470,TLE
F,G6,3,281,TLE
F,G6,4,179,TLE
F,G6,5,411,TLE
F,G6,6,3229,AC
C,G6,1,758,TLE
C,G6,2,168,TLE
C,G6,3,2582,AC
C,G6,6,2977,AC
E,G6,1,43559,WA
E,G6,5,1507,WA
F,G6,2,976,TLE
F,G6,3,67678,TLE
F,G6,4,839,TLE
F,G6,5,339763,WA
F,G6,7,122770,AC
D,G6,2,2221,WA
D,G6,5,21171,TLE
D,G6,6,441,TLE
D,G6,7,491,AC
E,G6,4,169,AC
F,G6,2,292,WA
F,G6,3,2467,TLE
F,G6,4,9978,WA
C,G2,1,721,CE
C,G2,3,532,WA
C,G4,1,1597,WA
D,G4,2,,Abandon
C,G4,1,2020,TLE
C,G4,2,35935,WA
C,G4,4,51507,TLE
C,G4,5,968,TLE
C,G4,6,112840,WA
C,G4,8,55928,TLE
C,G4,9,,Abandon
C,G4,1,444,TLE
C,G4,2,3001,WA
C,G4,1,84175,AC
C,G4,1,36425,AC
C,G4,1,159,TLE
C,G4,2,3122960,AC
C,G4,2,8897,RE
C,G4,4,32983,RE
C,G4,1,1589,AC
D,G4,1,983,TLE
D,G4,2,,Abandon
D,G4,2,224,WA
D,G4,4,4726,AC
D,G4,2,,Abandon
C,G4,3,430,TLE
C,G4,4,166,WA
C,G4,1,3077,AC
D,G4,1,480,TLE
D,G4,2,713,TLE
D,G4,3,516,WA
C,G4,1,2853,WA
C,G4,1,1254,AC
C,G5,1,196,TLE
C,G5,2,608,WA
E,G5,2,2584,AC
D,G5,1,429708,WA
B,G5,2,139511,AC
D,G5,2,209,AC
C,G5,1,,Abandon
C,G5,1,461,AC
C,G3,1,163,WA
C,G3,1,2420,AC
C,G3,13,1325,WA
C,G3,6,,Abandon
D,G4,1,509,TLE
D,G4,2,,Abandon
D,G4,1,574,WA
D,G4,1,,Abandon
D,G4,1,337,AC
D,G4,1,,Abandon
E,G4,1,573,TLE
E,G4,2,646,TLE
E,G4,3,,Abandon
C,G4,8,,Abandon
D,G4,1,656,AC
D,G4,1,1595,AC
C,G4,2,804,TLE
C,G4,3,2253,AC
B,G4,1,553,TLE
B,G4,2,795,AC
B,G4,1,152,AC
B,G4,1,457,TLE
B,G4,2,640,WA
D,G5,1,465,TLE
D,G5,2,1379,TLE
D,G5,3,55225,WA
D,G2,1,,Abandon
C,G3,1,584,TLE
C,G3,2,187,TLE
C,G3,3,703,TLE
C,G3,4,317,TLE
C,G3,5,,Abandon
F,G6,2,53,AC
F,G6,1,616,TLE
F,G6,2,2282,WA
E,G6,1,916,WA
C,G6,1,233,AC
D,G6,2,1101,TLE
D,G6,3,1004,AC
D,G6,1,308,TLE
D,G6,2,1273,AC
E,G6,1,1331,AC
C,G6,1,190,TLE
C,G6,2,242,AC
D,G6,1,2538,AC
C,G6,1,622,AC
C,G6,1,168,AC
D,G5,1,3038,AC
D,G3,1,,Abandon
C,G3,1,35924,WA
C,G3,1,79629,AC
D,G3,1,643114,TLE
D,G3,2,,Abandon
C,G4,6,181,WA
A,G4,1,1028,AC
C,G4,2,278,CE
B,G4,2,304,TLE
B,G4,3,802,WA
C,G4,4,150,AC
D,G4,1,,Abandon
E,G4,1,139,WA
D,G4,3,,Abandon
D,G4,1,306,TLE
D,G4,2,697,TLE
D,G4,3,294,TLE
D,G4,4,69,AC
E,G4,1,,Abandon
D,G4,1,,Abandon
C,G4,1,652,AC
E,G4,1,,Abandon
D,G4,1,760,AC
D,G4,1,705,WA
D,G4,3,307,TLE
D,G4,4,594,TLE
D,G4,5,358,TLE
D,G4,6,440,AC
C,G4,1,438,TLE
C,G4,2,172,TLE
C,G4,3,89,AC
D,G4,2,519936,AC
D,G4,3,265,CE
D,G4,5,1993,AC
D,G4,5,215,AC
C,G4,3,248,TLE
C,G4,4,816,TLE
C,G4,5,516,AC
D,G5,1,70,TLE
D,G5,2,112,WA
D,G5,4,629,AC
D,G6,1,93554,WA
B,G3,4,187,TLE
B,G3,5,409,TLE
B,G3,6,,Abandon
D,G5,1,588,AC
D,G5,1,2321,WA
E,G5,1,55170,AC
C,G5,1,213,WA
C,G3,1,,Abandon
D,G3,1,,Abandon
B,G3,2,236,AC
D,G3,1,313,TLE
D,G3,2,,Abandon
F,G3,1,,Abandon
D,G3,1,,Abandon
C,G3,1,2778,WA
C,G3,3,37,TLE
C,G3,4,929,WA
D,G3,1,3212,TLE
D,G3,2,4641,WA
D,G3,5,2982,TLE
D,G3,6,1522,WA
D,G3,8,8606,TLE
D,G3,9,3023,RE
D,G3,11,716,TLE
D,G3,12,1401,WA
D,G3,14,,Abandon
D,G3,1,,Abandon
D,G4,1,280,TLE
D,G4,2,854,AC
C,G4,1,178561,AC
D,G4,1,1292,TLE
D,G4,2,2005,AC
D,G4,1,1126,CE
D,G4,3,499,AC
D,G4,2,249,TLE
D,G4,3,254,TLE
D,G4,4,523,WA
D,G4,1,281,TLE
D,G4,2,,Abandon
C,G4,1,521,AC
C,G4,1,303,TLE
C,G4,2,,Abandon
B,G4,1,321,AC
E,G6,1,300,TLE
E,G6,2,1370,TLE
E,G6,3,153,TLE
E,G6,4,64,TLE
E,G6,5,2752,TLE
E,G6,6,661,AC
D,G6,1,,Abandon
C,G3,1,2826,TLE
C,G3,2,568,TLE
C,G3,3,226078,AC
E,G5,1,807,TLE
E,G5,2,42148,AC
D,G5,1,2871,TLE
D,G5,2,53043,AC
D,G5,4,27,TLE
D,G5,5,181,AC
D,G5,7,,Abandon
D,G5,1,547,TLE
D,G5,2,89,TLE
D,G5,3,415,AC
D,G5,1,1332,WA
B,G5,1,1232,TLE
B,G5,2,241,TLE
B,G5,3,1210,TLE
B,G5,4,756,TLE
B,G5,5,402,RE
D,G5,1,1510,TLE
D,G5,2,337,TLE
D,G5,3,330,TLE
D,G5,4,195,TLE
D,G5,5,68883,TLE
D,G5,6,226,AC
E,G5,1,945,TLE
E,G5,2,870,TLE
E,G5,3,74027,WA
E,G5,5,791,AC
D,G5,2,551,WA
D,G5,1,154,TLE
D,G5,2,2211,TLE
D,G5,3,588,WA
D,G5,5,81,TLE
D,G5,6,1418,TLE
D,G5,7,13,TLE
D,G5,8,,Abandon
C,G5,1,98,TLE
C,G5,2,213,TLE
C,G5,3,169,TLE
C,G5,4,286,AC
D,G5,1,950,TLE
D,G5,2,1334,TLE
D,G5,3,584,TLE
D,G5,4,710,TLE
D,G5,5,74702,WA
C,G5,3,297,AC
D,G5,5,341,TLE
D,G5,6,506352,WA
D,G5,8,665,AC
C,G5,9,41,WA
C,G5,11,160,TLE
C,G5,12,44,WA
D,G5,1,64760,TLE
D,G5,2,503,RE
D,G5,1,144,TLE
D,G5,2,708,AC
D,G5,1,32,TLE
D,G5,2,6302,TLE
D,G5,3,691,TLE
D,G5,4,687,TLE
D,G5,5,87,TLE
D,G5,6,256,AC
D,G5,1,619,WA
D,G5,3,566,TLE
D,G5,4,936254,AC
D,G5,1,148,TLE
D,G5,2,68,TLE
D,G5,3,15537,TLE
D,G5,4,119,TLE
D,G5,5,134,TLE
D,G5,6,1165,TLE
D,G5,7,42,TLE
D,G5,8,884,AC
E,G5,1,143,AC
C,G5,1,605086,WA
C,G5,3,23,TLE
C,G5,4,447,AC
C,G5,2,208,TLE
C,G5,3,102,TLE
C,G5,4,278,AC
D,G5,1,3141,TLE
D,G5,2,34,TLE
D,G5,3,590,WA
D,G5,2,159,RE
C,G5,1,167,AC
D,G5,1,1448,AC
C,G5,1,1396,TLE
C,G5,2,25,TLE
C,G5,3,204,RE
D,G5,1,28,AC
D,G5,8,,Abandon
C,G5,2,154,TLE
C,G5,3,253,AC
C,G5,1,164,TLE
C,G5,2,416,WA
D,G5,2,366,TLE
D,G5,3,245,TLE
D,G5,4,198,TLE
D,G5,5,169,TLE
D,G5,6,4051,TLE
D,G5,7,63856,AC
B,G5,1,65,AC
C,G5,1,684,TLE
C,G5,2,420,TLE
C,G5,3,479,AC
C,G5,1,24,TLE
C,G5,2,331,TLE
C,G5,3,349,WA
C,G5,3,69,TLE
C,G5,4,355,WA
B,G5,1,350,AC
C,G5,1,255,TLE
C,G5,2,1188,RE
C,G5,1,361,WA
D,G5,1,,Abandon
C,G3,1,1994,AC
C,G3,1,,Abandon
C,G3,1,12582,TLE
C,G3,2,,Abandon
B,G3,1,938,AC
B,G3,1,564,AC
C,G3,1,,Abandon
C,G3,1,892,TLE
C,G3,2,631,AC
C,G3,1,406,TLE
C,G3,2,,Abandon
D,G3,1,,Abandon
E,G5,1,1321,TLE
E,G5,2,710,AC
C,G5,1,551,TLE
C,G5,2,1262,RE
D,G5,2,6695,AC
C,G5,2,2463,WA
B,G5,1,505,TLE
B,G5,2,205,AC
C,G5,1,5517,CE
C,G5,1,357,AC
C,G3,1,794,AC
D,G3,1,308,TLE
D,G3,2,299,TLE
D,G3,3,,Abandon
C,G3,1,225,TLE
C,G3,2,,Abandon
C,G3,2,232,AC
B,G1,13,,Abandon
C,G3,1,1542,AC
D,G4,1,496,TLE
D,G4,2,189,TLE
D,G4,3,356,TLE
D,G4,4,225,TLE
D,G4,5,1117,TLE
D,G4,6,,Abandon
C,G4,1,344,TLE
C,G4,2,594,AC
C,G4,5,455,RE
C,G4,1,258,TLE
C,G4,2,3906,AC
D,G4,1,119,CE
B,G4,2,84,TLE
B,G4,3,504,CE
B,G4,8,73,TLE
B,G4,9,807,WA
B,G4,11,1160,Other
E,G6,1,282,TLE
E,G6,2,5705,TLE
E,G6,3,157,TLE
E,G6,4,111,CE
E,G6,7,75,TLE
E,G6,8,80,TLE
E,G6,9,135,WA
E,G6,12,103,TLE
E,G6,13,,Abandon
D,G6,1,101,AC
E,G6,1,1817,AC
C,G3,1,,Abandon
C,G3,1,443,TLE
C,G3,2,,Abandon
E,G5,1,739,AC
C,G5,1,198,AC
D,G5,1,803,TLE
D,G5,2,430,TLE
D,G5,3,1272,TLE
D,G5,4,43,TLE
D,G5,5,3449,AC
D,G5,1,253607,AC
E,G5,1,,Abandon
C,G5,1,713,WA
C,G5,3,110,TLE
C,G5,4,1780,WA
D,G5,1,899,TLE
D,G5,2,412,AC
C,G5,1,207,AC
E,G5,1,561,TLE
E,G5,2,295,TLE
E,G5,3,579,TLE
E,G5,4,167,RE
C,G5,1,183,TLE
C,G5,2,508,RE
B,G5,1,103,AC
B,G5,1,659,WA
D,G4,1,,Abandon
D,G4,1,86446,TLE
D,G4,2,174762,TLE
D,G4,3,21,TLE
D,G4,4,,Abandon
E,G6,1,966,TLE
E,G6,2,5265,TLE
E,G6,3,,Abandon
C,G6,1,272,AC
D,G6,1,218,WA
C,G4,3,,Abandon
D,G3,1,475,TLE
D,G3,2,,Abandon
C,G4,3,47,AC
C,G4,1,913,WA
C,G4,2,,Abandon
E,G5,1,280,TLE
E,G5,2,297,TLE
E,G5,3,,Abandon
D,G5,1,1307,WA
C,G5,2,1778,WA
C,G5,4,414,TLE
C,G5,5,183,TLE
C,G5,6,587,AC
D,G5,1,232,TLE
D,G5,2,208,TLE
D,G5,3,1475,TLE
D,G5,4,97,TLE
D,G5,5,1303,AC
C,G5,1,107,TLE
C,G5,2,109,AC
B,G5,1,306,RE
D,G5,1,386,TLE
D,G5,2,417,RE
B,G5,1,513,AC
D,G5,1,346,TLE
D,G5,2,1145,WA
C,G5,1,1844,TLE
C,G5,2,1010,AC
C,G5,2,252,AC
B,G5,1,,Abandon
E,G6,1,480,CE
C,G6,3,174,WA
C,G6,5,200,CE
E,G6,1,2038,TLE
E,G6,2,,Abandon
C,G6,1,819,TLE
C,G6,2,393,AC
D,G6,3,45,AC
E,G6,2,55461,WA
D,G6,1,927,TLE
D,G6,2,45494,AC
E,G6,10,223,WA
D,G6,6,2151,TLE
D,G6,7,1617,AC
E,G6,2,4731891,CE
C,G6,1,1345,TLE
C,G6,2,667,TLE
C,G6,3,216,AC
D,G6,1,1415,AC
E,G6,1,6439,WA
E,G6,3,180317,AC
C,G6,2,220,TLE
C,G6,3,145,AC
C,G6,5,41,AC
D,G6,3,33,WA
C,G6,1,640,TLE
C,G6,2,816,AC
D,G6,1,87032,AC
D,G6,1,377,CE
D,G6,5,899,AC
D,G6,2,36,AC
D,G6,1,1632658,AC
D,G6,1,9339,WA
D,G6,3,21569,TLE
D,G6,4,228,AC
D,G6,3,127,TLE
D,G6,4,165,TLE
D,G6,5,77,AC
D,G6,1,415,AC
C,G6,2,96,TLE
C,G6,3,24,WA
C,G6,6,141,TLE
C,G6,7,141,AC
D,G6,1,61960,CE
D,G6,2,,Abandon
C,G4,1,882,WA
D,G5,1,73,AC
D,G5,3,505,AC
D,G5,1,,Abandon
C,G5,1,1065,TLE
C,G5,2,2784,WA
C,G3,1,768,TLE
C,G3,2,,Abandon
D,G3,1,,Abandon
D,G3,2,,Abandon
B,G3,2,808,RE
D,G5,1,305,WA
D,G5,1,1863,RE
D,G5,3,1398,AC
B,G5,1,412,RE
D,G5,1,7324,AC
C,G5,1,310,AC
D,G5,1,10512763,AC
C,G5,2,2224859,TLE
C,G5,3,607,WA
D,G5,1,,Abandon
C,G5,1,699,AC
D,G5,1,9454,TLE
D,G5,2,659,RE
D,G5,4,,Abandon
C,G5,1,2052282,WA
C,G5,1,318,TLE
C,G5,2,1116,WA
C,G5,1,733,RE
C,G5,3,14231,TLE
C,G5,4,418,AC
C,G5,1,8634,TLE
C,G5,2,1628,RE
C,G5,1,800,AC
C,G5,1,66353,WA
C,G5,4,212,TLE
C,G5,5,167,AC
C,G5,1,4303606,AC
B,G5,1,732,AC
C,G5,1,549,TLE
C,G5,2,793,TLE
C,G5,3,251,AC
D,G6,1,2032,AC
F,G6,1,9064,AC
D,G6,1,108,TLE
D,G6,2,366,TLE
D,G6,3,948,AC
C,G6,4,125,AC
D,G6,3,1791,AC
C,G2,1,515,TLE
C,G2,2,,Abandon
B,G2,2,90,AC
E,G4,1,407,WA
E,G4,5,,Abandon
C,G4,1,296,WA
B,G4,1,,Abandon
C,G4,1,1923,TLE
C,G4,2,589,TLE
C,G4,3,,Abandon
C,G4,2,291,TLE
C,G4,3,,Abandon
E,G6,2,,Abandon
E,G6,1,480,WA
C,G6,2,95,TLE
C,G6,3,,Abandon
C,G5,1,245,AC
C,G5,1,1983,TLE
C,G5,2,157,TLE
C,G5,3,120,TLE
C,G5,4,1162,TLE
C,G5,5,,Abandon
D,G5,2,,Abandon
C,G5,2,1919,AC
C,G3,1,250,TLE
C,G3,2,2011,AC
C,G3,1,,Abandon
B,G3,1,378,AC
B,G3,1,,Abandon
B,G3,1,,Abandon
E,G6,2,3353,TLE
E,G6,3,525,TLE
E,G6,4,1401,AC
D,G6,1,702155,AC
D,G6,4,2858,WA
D,G6,4,513,AC
D,G6,1,955,AC
E,G6,1,451,TLE
E,G6,2,40059,AC
C,G6,1,395979,AC
D,G6,1,3899,AC
E,G6,1,97,AC
C,G6,1,1658,AC
D,G6,1,70,AC
D,G6,1,415,AC
C,G6,1,1152,AC
D,G6,1,311,TLE
D,G6,2,2420,TLE
D,G6,3,40,TLE
D,G6,4,1085,WA
B,G3,1,,Abandon
C,G3,1,432,TLE
C,G3,2,,Abandon
C,G3,1,,Abandon
C,G3,1,3094,AC
C,G3,3,168,TLE
C,G3,4,346438,AC
D,G5,1,1075,AC
D,G5,1,1599,AC
C,G5,1,775,AC
D,G5,1,2608,RE
B,G5,1,446,AC
C,G5,1,343,AC
C,G4,1,1053,WA
C,G4,4,133,TLE
C,G4,5,1775,WA
D,G4,1,255,TLE
D,G4,2,75806,AC
D,G5,1,,Abandon
D,G5,1,2555,TLE
D,G5,2,1181,TLE
D,G5,3,496,AC
D,G5,6,,Abandon
E,G5,1,897,TLE
E,G5,2,416,AC
C,G5,1,103,AC
D,G5,1,1108502,AC
D,G5,2,32,TLE
D,G5,3,,Abandon
E,G5,1,775,TLE
E,G5,2,590,AC
C,G5,1,613,TLE
C,G5,2,657,WA
E,G5,1,63,TLE
E,G5,2,45,TLE
E,G5,3,314,TLE
E,G5,4,35,TLE
E,G5,5,1034,TLE
E,G5,6,131,TLE
E,G5,7,,Abandon
C,G5,2,404,WA
D,G5,1,388,TLE
D,G5,2,723,AC
D,G5,1,371,TLE
D,G5,2,826,TLE
D,G5,3,3667,RE
D,G5,5,,Abandon
