difficulty,proficiency_group,submission_rank,delta_seconds,next_status
D,G5,3,9822,AC
E,G5,3,128,TLE
E,G5,4,,Abandon
D,G5,2,1877,TLE
D,G5,3,,Abandon
D,G5,1,1571,AC
D,G5,1,307,AC
D,G5,1,347,AC
D,G5,1,2306,TLE
D,G5,2,573,WA
D,G5,5,,Abandon
C,G5,1,486,AC
D,G5,2,808,TLE
D,G5,3,947,WA
D,G5,5,569,TLE
D,G5,6,1030,RE
C,G5,1,198,TLE
C,G5,2,62,TLE
C,G5,3,221,WA
C,G5,1,63,AC
C,G5,1,187,TLE
C,G5,2,2218,AC
C,G5,4,,Abandon
C,G5,1,263,TLE
C,G5,2,808,WA
D,G5,1,1362,TLE
D,G5,2,2279,WA
D,G5,1,554,TLE
D,G5,2,863,WA
D,G5,5,353,WA
D,G5,8,,Abandon
D,G5,1,,Abandon
D,G5,2,747,TLE
D,G5,3,402,TLE
D,G5,4,1094,WA
C,G5,1,9590960,AC
C,G5,1,285,AC
D,G5,1,15,TLE
D,G5,2,209,TLE
D,G5,3,91,AC
C,G5,2,268,AC
D,G5,2,59,AC
C,G3,3,,Abandon
C,G3,3,,Abandon
D,G3,1,,Abandon
D,G3,1,205,RE
D,G3,3,,Abandon
C,G6,1,719,AC
C,G6,4,,Abandon
D,G3,1,,Abandon
D,G3,1,723,TLE
D,G3,2,98,TLE
D,G3,3,3596,TLE
D,G3,4,74,TLE
D,G3,5,266,TLE
D,G3,6,,Abandon
D,G3,1,218,WA
D,G3,4,375,TLE
D,G3,5,,Abandon
E,G5,8,,Abandon
C,G5,28,17,TLE
C,G5,29,96458,AC
D,G3,1,263,TLE
D,G3,2,,Abandon
C,G3,1,2040,TLE
C,G3,2,6558,TLE
C,G3,3,1145,AC
D,G4,1,,Abandon
E,G4,1,851,WA
E,G4,4,,Abandon
D,G4,1,357,TLE
D,G4,2,707,AC
E,G4,1,,Abandon
D,G4,1,109,WA
D,G4,1,120,TLE
D,G4,2,540,TLE
D,G4,3,315,TLE
D,G4,4,,Abandon
C,G4,1,,Abandon
D,G4,2,,Abandon
D,G4,1,,Abandon
D,G4,1,870,WA
D,G4,4,5923,TLE
D,G4,5,661,TLE
D,G4,6,75,WA
C,G4,1,344,TLE
C,G4,2,1464,WA
C,G4,4,3079,AC
C,G4,1,883,TLE
C,G4,2,2221,AC
D,G4,1,,Abandon
D,G4,2,899,TLE
D,G4,3,1587,WA
D,G4,5,,Abandon
D,G4,1,4414,WA
C,G4,1,567,AC
D,G4,1,,Abandon
C,G4,1,914,WA
C,G4,1,,Abandon
C,G4,1,,Abandon
C,G4,1,2411,TLE
C,G4,2,477,TLE
C,G4,3,2146633,AC
B,G4,3,,Abandon
B,G1,1,,Abandon
D,G4,1,144432,AC
C,G3,3,,Abandon
C,G3,4,277,CE
C,G4,1,703,AC
B,G3,1,191,WA
B,G3,3,73,WA
B,G3,5,35,TLE
B,G3,6,90,TLE
B,G3,7,,Abandon
C,G3,5,954,RE
D,G3,1,,Abandon
C,G3,1,,Abandon
B,G3,3,,Abandon
D,G6,4,72,AC
D,G4,1,897,AC
C,G3,2,,Abandon
C,G3,1,,Abandon
E,G5,1,85097,WA
D,G5,1,655,TLE
D,G5,2,348,WA
D,G5,3,87,TLE
D,G5,4,77,WA
D,G5,1,2298,TLE
D,G5,2,277,TLE
D,G5,3,221,TLE
D,G5,4,251,TLE
D,G5,5,339741,TLE
D,G5,6,162841,WA
D,G5,8,535,WA
C,G5,1,1375,AC
D,G5,1,681,WA
D,G5,3,101452,AC
D,G5,4,2222,WA
C,G5,2,454,WA
C,G5,4,267,TLE
C,G5,5,171,WA
C,G5,1,12982,RE
D,G5,5,615,TLE
D,G5,6,61,RE
D,G5,8,42,RE
D,G5,11,371,WA
D,G5,14,65244,RE
C,G5,1,297,AC
D,G5,2,5479,TLE
D,G5,3,62948,TLE
D,G5,4,1241,WA
D,G5,10,222,TLE
D,G5,11,107,TLE
D,G5,12,6322,WA
D,G5,2,54255,WA
C,G5,3,420,AC
D,G5,1,321,RE
C,G5,1,12552,AC
D,G3,1,761,WA
C,G3,1,1190,AC
D,G3,1,219,WA
D,G3,3,144,TLE
D,G3,4,1506,TLE
D,G3,5,,Abandon
D,G5,3,329,TLE
D,G5,4,939,TLE
D,G5,5,262,TLE
D,G5,6,2266,WA
D,G5,1,208,AC
D,G5,1,1258,RE
D,G5,1,63,RE
D,G5,1,,Abandon
E,G5,2,269,AC
E,G5,4,,Abandon
D,G5,3,17404233,AC
D,G5,2,33,TLE
D,G5,3,224,AC
D,G5,1,1043,AC
D,G5,2,257,TLE
D,G5,3,328,TLE
D,G5,4,1326,RE
D,G5,7,166,AC
D,G5,14,118,TLE
D,G5,15,226,AC
C,G5,1,179,AC
D,G5,3,,Abandon
D,G5,4,39987,RE
C,G5,1,6224,AC
C,G5,1,1345,TLE
C,G5,2,881,TLE
C,G5,3,441,TLE
C,G5,4,53556,AC
D,G5,4,804,WA
D,G5,3,141700,AC
C,G5,1,391,AC
D,G5,3,209,WA
D,G5,2,256,TLE
D,G5,3,1258,AC
D,G5,1,475,WA
C,G5,1,4190,AC
D,G5,11,34,AC
C,G5,1,12895,AC
C,G5,1,646,AC
D,G5,1,43930842,AC
B,G2,1,502,AC
D,G4,1,333,TLE
D,G4,2,167,AC
D,G4,2,576,WA
E,G4,1,32,TLE
E,G4,2,,Abandon
D,G4,1,1587,AC
C,G4,1,285,TLE
C,G4,2,78,AC
D,G4,1,776,AC
C,G6,1,1431,AC
D,G6,1,,Abandon
F,G6,1,9549,AC
D,G6,1,2996,TLE
D,G6,2,163,TLE
D,G6,3,1141,RE
D,G6,1,,Abandon
E,G6,1,465,WA
D,G6,1,1555,TLE
D,G6,2,1006,TLE
D,G6,3,428,TLE
